name,tel,address,latitude,longitude,type
송파어린이교통공원 교통안전교육장,02-413-0004,서울특별시 송파구 올림픽로35다길 33(신천동),37.51600678,127.101739,오락_체험_여행
롯데월드 어드벤처,1661-2000,서울특별시 송파구 올림픽로 240,37.51135169,127.0979006,오락_체험_여행
서울 방이동 고분군,02-2147-2001,서울특별시 송파구 오금로219(방이동),37.50815798,127.1178489,"역사_문화_여행, 힐링_여행"
풍납백제문화공원,02-2147-2600,서울특별시 송파구 한가람로 14길 16,37.53586305,127.1152983,"역사_문화_여행, 힐링_여행"
서울 풍납동 토성,02-2147-2001,서울특별시 송파구 풍납동72-1,37.53756295,127.1209255,"역사_문화_여행, 힐링_여행"
올림픽공원,02-410-1114,서울특별시 송파구 올림픽로 424(방이동),37.51944564,127.1224426,힐링_여행
서울 석촌동 고분군,02-2147-2001,서울특별시 송파구 가락로7길21(석촌동),37.50219451,127.102831,"역사_문화_여행, 힐링_여행"
서울 몽촌토성,02-2147-2001,서울특별시 송파구 올림픽로 424,37.52098714,127.1229758,"역사_문화_여행, 힐링_여행"
아시아공원,02-412-0270,서울특별시 송파구 올림픽로 44,37.51008201,127.0767026,힐링_여행
롯데월드타워&롯데월드몰,02-3213-5000,서울특별시 송파구 올림픽로 300,37.51263496,127.1025918,"쇼핑_여행, 식도락_여행"
서울 삼전도비,042-481-4650,서울특별시 송파구 잠실로 148,37.51026577,127.1011837,역사_문화_여행
롯데월드 아쿠아리움,1661-2000,서울특별시 송파구 올림픽로 300 롯데월드 몰 B1(신천동),37.51362099,127.1042833,오락_체험_여행
롯데월드타워 서울스카이,1661-2000,서울특별시 송파구 올림픽로 300,37.51362099,127.1042833,"오락_체험_여행, 힐링_여행"
올림픽대교,02-2133-1954,서울특별시 송파구 신천동,37.53241605,127.1053604,힐링_여행
한방스파 여용국,02-412-0100,서울특별시 송파구 석촌호수로12길 60,37.50832672,127.079919,힐링_여행
파크하비오 워터킹덤&스파,02-1600-0666,서울특별시 송파구 송파대로 111,37.48056128,127.1232769,"힐링_여행, 오락_체험_여행"
마천공원,02-2147-3380,서울특별시 송파구 성내천로23길 12(마천동),37.50179533,127.1454549,힐링_여행
방이동 고분공원,02-2147-2800,서울특별시 송파구 오금로 219(방이동),37.50821908,127.1178822,"힐링_여행, 역사_문화_여행"
불광사,02-413-6060,서울특별시 송파구 백제고분로39길 35(석촌동),37.50724948,127.1028864,"역사_문화_여행, 힐링_여행"
올림픽공원들꽃마루,02-410-1114,서울특별시 송파구 올림픽로 424(방이동),37.52098714,127.1229758,힐링_여행
한양공원,02-2147-3380,서울특별시 송파구 송파동 152,37.50406397,127.1155492,힐링_여행
송파구자원순환공원,02-2147-2663,서울특별시 송파구 헌릉로 793(장지동),37.47091519,127.1243466,힐링_여행
올림픽공원피크닉장,02-410-1114,서울특별시 송파구 올림픽로 424(방이동),37.52098714,127.1229758,힐링_여행
잠실유수지공원,02-2147-2818,서울특별시 송파구 탄천동로 211(잠실동),37.5031523,127.0789109,힐링_여행
시그니엘서울 리트릿 시그니엘,02-3213-1383~4,서울특별시 송파구 올림픽로 30086층,37.51262385,127.1025779,힐링_여행
송리단길,02-2147-2109,서울특별시 송파구 백제고분로43길 23,37.50913825,127.1082358,"힐링_여행, 식도락_여행"
천마근린공원,02-400-0978,서울특별시 송파구 성내천로35길 53 (마천동),37.50043739,127.1588287,힐링_여행
신선경과 류인호 묘역,02-2147-2001,서울특별시 송파구 동남로 263(오금동),37.50278942,127.1327088,역사_문화_여행
송파나루공원(석촌호수),02-412-0190,서울특별시 송파구 삼학사로 136,37.50957134,127.0979729,힐링_여행
오금공원,02-400-0978,서울특별시 송파구 오금로 363(오금동),37.50525579,127.131681,힐링_여행
방이동 생태경관 보전지역,02-2147-3401,서울특별시 송파구 동남로 397(방이동),37.51208571,127.1403912,힐링_여행
잠실한강공원,02-3780-0511,서울특별시 송파구 한가람로 65(잠실동),37.52107832,127.0969171,힐링_여행
롯데월드 가든스테이지,1661-2000,서울특별시 송파구 올림픽로 240(잠실동),37.51122948,127.0979395,"오락_체험_여행, 쇼핑_여행"
서울놀이마당,0507-1441-1985,서울특별시 송파구 잠실로 124 서울놀이마당,37.509713,127.0981006,"역사_문화_여행, 오락_체험_여행"
롯데월드 민속박물관,02-411-4764,서울특별시 송파구 올림픽로 240(잠실동) 롯데월드 쇼핑_여행몰 3층,37.51122948,127.0979395,역사_문화_여행
송파구립 예송미술관,0507-1411-3579,서울특별시 송파구 백제고분로 242 (삼전동),37.50269983,127.0931985,"오락_체험_여행, 힐링_여행"
서울백제어린이박물관,02-2152-5900,서울특별시 송파구 올림픽로 424,37.52182873,127.1243146,"역사_문화_여행, 오락_체험_여행"
